fname,rname,avail,maxLimit,price
Ramen,Subway - Bell's Ferry,40,40,10.0
Fish stew,BLIMPIE,40,40,8.0
Macaroni and Cheese,Kennedy Fried Chicken & Pizza,20,20,6.0
Ayam goreng,Fitness 19,110,110,7.0
Ossobuco,J J Fish and Chicken,50,50,8.5
Tom yum goong,A&W All-American Foods,20,20,9.0
Pizza,Cypress Best,60,60,10.5
Gado gado,Carl's Jr,50,50,5.5
Doughnut,Jack's,40,40,12.0
Murg makhani,Maui Tacos,90,90,5.0
Papdi chaat,Tom's Drive In,80,80,7.0
Banh xeo,A&W/Long John Silvers,80,80,11.5
Enchiladas,KFC - Kentucky Fried Chicken,20,20,9.0
Tacos al pastor,Ny Chicken Fish,100,100,6.0
Coconut milk curry,Gyros Kings,60,60,5.0
Ossobuco,Chuck Wagon,30,30,6.5
Boiled vegetable soup,Subway Sandwiches,90,90,6.0
Yakitori,Back Yard Burgers,70,70,11.0
Ramen,Frisch's Big Boy,110,110,9.0
Banh khot,Food 4 Less,40,40,11.0
Spaghetti Aglio Olio,Wienerschnitzel,50,50,8.5
Ayam goreng,Sonic Drive In,20,20,9.0
Rujak cingur,A & W Family Restaurant,80,80,4.0
Hash browns,QDOBA Mexican Eats,110,110,11.0
Paratha,Smashburger,90,90,7.0
Fish stew,Roy Rogers,70,70,5.5
Naan,Burgerville,90,90,9.0
Dim sum,Bob Evans,60,60,11.0
Spaghetti Carbonara,Convergence Zone,50,50,11.0
Naan,Chick-fil-a,90,90,8.5
Hot and sour soup,DQ Grill & Chill,90,90,6.5
Spaghetti Bolognese,Taco Delight,110,110,6.0
Chicken wings,In-A-Tub,20,20,4.0
Stir fried tofu with rice,Comilao Lanches Bakery,50,50,11.0
Sichuan pork,Jacks Grocery,90,90,3.5
Donburi,Rush's,60,60,10.0
Pho,Nino's Pizza,20,20,5.5
Coconut milk curry,Papa Johns Pizza,30,30,4.0
Kimchi,Checkers Burgers and Fries,90,90,11.0
Murg makhani,Popeyes,100,100,3.5
Hokkien prawn mee,Lenny's Sub Shop,40,40,7.0
Natto,McDonalds @ Old Atlanta,80,80,3.0
Mole,DQ Grill & Chill,20,20,11.0
Gado gado,Hub City Express,110,110,10.0
Kimchi,Sonic Drive in,90,90,11.5
Guacamole,Garden Fast Food,100,100,8.5
Sashimi,Captain D's,30,30,9.0
Mole,McDonald's of Mililani Mauka,110,110,3.0
Samgyeopsal,Papa John's,20,20,9.0
Soba,Loco Moco Drive-Inn,90,90,10.0
Cantonese chicken soup,Bob Evans Restaurant,40,40,11.5
Risotto,A&W All American Food,70,70,3.5
Coconut milk curry,Papa John's,90,90,6.5
Chole,Maria's Fry Bread & Mexican Food,60,60,6.5
Chicken with chestnuts,Rich's Mighty Fine Burgers Grub,20,20,6.5
Steak,Einstein Bros Bagels,110,110,4.5
Elote,Sonic Drive in,80,80,8.5
Ramyeon,Gold Star Chili,100,100,3.5
Steak,Kennedy Fried Chicken & Pizza,90,90,5.0
Polenta,Sonic Drive In,80,80,10.0
Nem ran,Jollibee,40,40,4.5
Natto,Regal Cinemas Tikahtnu  16 IMAX & RPX,80,80,3.0
Noodles,Food 4 Less,70,70,6.5
Fish stew,BIG & little's Restaurant,100,100,7.5
Tofu,Blimpie,90,90,7.0
Laksa,Tom's Grill,40,40,11.0
Palak paneer,Teddy's Bigger Burgers,20,20,9.0
Naan,KFC / Taco Bell,20,20,4.5
Isaan soup,Arby's Antigo,50,50,8.0
Enchiladas,Long John Silvers / A&W,80,80,4.0
Elote,Bamboo Bistro,50,50,3.5
Chicken with chestnuts,Roy Rogers,20,20,5.5
Sour soup,Freddy's Steakburger,90,90,10.5
Ga tan,Red Robin Gourmet Burgers,70,70,5.0
Udon,D'angelo Grilled Sandwiches,70,70,3.0
Chicken tikka masala,Hoka Hoka Bento,30,30,6.5
Tempura,Ernie's All American Burger,100,100,3.0
Bak kut teh,Richie's Restaurant,30,30,11.0
Papdi chaat,Flip Burger Bar,50,50,5.5
Soto,China Buddha Inn II,60,60,11.5
Ayam goreng,Moe's Southwest Grill,30,30,3.0
Boiled vegetable soup,Captain D's,40,40,10.0
Beef soup,Samurai Sam's,30,30,11.0
Sour soup,Chicago Union Station Food Court,100,100,10.0
Spaghetti Carbonara,White Manna Hamburgers,20,20,11.0
Coconut milk curry,Convergence Zone,50,50,10.0
Cha ca,Toppers Pizza,80,80,7.5
Soto,A&W All American Food,100,100,3.0
Stir fried tofu with rice,Tudor's Biscuit World,70,70,4.0
Cao lau,Simmies Arirang Hill Cheese Steak,100,100,8.5
Pizza,Shoney's on the Go,80,80,3.5
Nasi goreng,Lime Ricky World,70,70,6.5
Gado gado,Thrashers French Fries,30,30,8.0
Paratha,Rancher's Roast Beef Inc.,90,90,4.5
Donburi,Yellow Cab Pizza Co.,40,40,5.0
Macaroni and Cheese,The Honeybaked Ham Company,30,30,10.5
Cheeseburger,Rubio's Coastal Grill,30,30,11.0
Spaghetti Bolognese,The Chicken Place,80,80,11.0
Ayam goreng,Frisch's Big Boy,100,100,11.5
Nasi goreng,The Biscuit Factory,80,80,11.5
Beef rendang,KFC/Taco Bell,50,50,6.5
Korma,Home Town Buffet,100,100,7.5
Fish kidney curry,Rally's Springfield,50,50,9.5
Pozole,Costa Vida Fresh Mexican Grill,30,30,9.0
Gogigui,Subway (johnson) @ Jonesboro,80,80,4.0
Fish stew,Bills Place,20,20,6.0
Curry fish head,Del Taco,80,80,9.0
Kaya toast,Rahway Chicken & Burger Inc,70,70,5.5
Isaan soup,Rally's Springfield,70,70,10.0
Ramen,DQ Grill & Chill,20,20,5.5
Dim sum,Everest,90,90,6.0
Steak,Lime Ricky World,60,60,11.5
Sichuan pork,Pizza Factory,90,90,4.5
Szechwan chilli chicken,Peking Wok,60,60,9.0
Ayam penyet,El Tarasco Mexican Food,110,110,5.5
Kimchi stew,City Bites,20,20,3.0
Bhajji,Tellers Tap Room & Kitchen,110,110,7.0
Beef rendang,Mickey's Gyros & Ribs,40,40,5.0
Papdi chaat,Tom's Grill,80,80,12.0
Guacamole,Pacific Rim,90,90,4.0
Hokkien prawn mee,Greyhound,80,80,12.0
Cha ca,Isabella's Pizzeria,80,80,4.5
Fish stew,Raising Cane's Chicken Fingers,110,110,8.0
Pho,Frugal's,20,20,6.0
Rau muong,Wendys,110,110,6.5
Sushi,Denton's,50,50,7.0
Bak kut teh,Toppers Pizza,60,60,5.0
Tamales,Captain D's,70,70,8.0
Tofu,Subway - Bell's Ferry,110,110,7.0
Hot and sour soup,Hoka Hoka Bento,110,110,8.0
Tandoori chicken,Denton's,20,20,12.0
Tostadas,Saladworks,70,70,4.5
Donburi,A&W Restaurant,70,70,4.0
Pozole,Isabella's Pizzeria,50,50,7.0
Samgyeopsal,Spangles,30,30,8.0
Ga tan,Charley's Grilled Subs,90,90,12.0
Spaghetti Carbonara,Papagus Gyros,60,60,4.0
Macaroni and Cheese,Milo's Hamburgers,110,110,4.0
Pozole,LocoL,30,30,11.0
Samgyeopsal,Aw Restaurant,20,20,11.5
Beef rendang,Garden Fast Food,40,40,8.5
Boiled vegetable soup,Pizza One,20,20,4.0
Ayam goreng,Taco Del Mar,50,50,4.0
Green curry chicken,Fosters Freeze,20,20,11.5
Bibimbap,Convergence Zone,30,30,3.0
Pork bulgogi,Steak Escape,60,60,9.5
Tandoori chicken,Mcalister's Deli,50,50,4.5
Soba,Sarku Japan,50,50,8.0
Tostadas,Carl's / Green Burrito,100,100,11.5
Dim sum,White Castle,70,70,6.5
Murg makhani,Mcdonald's - Walmart,80,80,6.5
Pork bulgogi,Garden Catering,100,100,9.5
Ramen,Thrasher's French Fries,90,90,3.0
Chilaquiles,Jolly's Drive-In,30,30,3.0
Beef soup,Nielsen's Frozen Custard,20,20,5.5
Dim sum,Fatburger,90,90,10.5
Spaghetti Aglio Olio,A&W Restaurant,70,70,9.0
Ayam penyet,Steak Escape,110,110,3.5
Tandoori chicken,Samurai Sam's,70,70,7.0
Mole,Papa John's,60,60,5.0
Korma,Taco Casa,40,40,7.5
Oyster omelette,Bush's Chicken,20,20,6.0
Korma,Dairy Cheer,40,40,10.5
Tom yum goong,Quiznos,60,60,12.0
Steak,Blimpie,30,30,4.5
Nem ran,Runza,90,90,3.5
Hash browns,Nathan's Famous,50,50,6.0
Macaroni and Cheese,ShopRite,90,90,10.0
Cheeseburger,Pizza Express,80,80,4.5
Hokkien prawn mee,Garden Catering,50,50,9.0
Wanton mee,Jim's Coney Island,30,30,11.0
Chicken rice,China King Restaurant,70,70,7.5
Yakitori,Arby's,20,20,4.0
Stir fried tofu with rice,L&L Hawaiian Barbecue,30,30,4.5
Tamales,Pizza Barn,20,20,6.5
Pork bulgogi,Siam To Go,60,60,3.5
Chiles en nogada,Hunam Garden,40,40,11.0
Paratha,Taco Casa,80,80,7.5
Korma,DQ Grill & Chill / Orange Julius,90,90,5.0
Kaya toast,Subway Sandwiches,20,20,6.5
Soba,Sonic Drive In,70,70,10.0
Tandoori chicken,Pollo Campero,100,100,9.0
Beef soup,Mcdonald's - Walmart,50,50,11.0
Kaya toast,Strongwater Spirits & Botanicals,40,40,6.0
Banh xeo,Chick-fil-a,80,80,9.5
Sate,McDonald's,20,20,3.5
Fish kidney curry,Mocha Express,20,20,5.0
Chilaquiles,Jack In The Box,90,90,9.5
Spicy stir fried octopus,Rubio's Coastal Grill,100,100,5.5
Chicken with chestnuts,Jersey Mike's Subs,90,90,11.0
Pozole,Taco Casa,70,70,11.0
Tom yum goong,Tom's Grill,110,110,12.0
Paratha,Checkers,90,90,11.5
Isaan soup,Mcdonald's,40,40,9.5
Sundubu jjigae,Bojangles' Famous Chicken 'n Biscuits,50,50,9.0
Gogigui,Carl's Jr / Green Burrito,100,100,9.0
Sour soup,Hermosa,70,70,11.5
Ayam goreng,Garden Catering,110,110,4.0
Fried carrot cake,Richie's Restaurant,100,100,4.0
Paratha,Capriotti's Sandwich Shop,20,20,4.0
Bak chor mee,Popeye's Louisiana Kitchen,70,70,12.0
Paratha,Church's Chicken,70,70,12.0
Tandoori chicken,Carl's / Green Burrito,110,110,7.5
Bibimbap,Hardee's / Red Burrito,50,50,9.5
Udon,White Manna Hamburgers,110,110,10.0
Fried carrot cake,Crystal Restaurant,50,50,7.5
Banh khot,7-11,70,70,9.5
Beef soup,Jacks Grocery,90,90,4.5
Tamales,Hardee's,20,20,7.5
Pho,Travelcenters of America,110,110,11.5
Hash browns,Mr Char-Burger,60,60,8.5
Nasi goreng,Waffle House,40,40,10.5
Chicken wings,Dunkin' Donuts,40,40,10.5
Hokkien prawn mee,Yoshinoya,60,60,3.0
Palak paneer,White Castle,110,110,7.0
Wanton mee,Rubio's,100,100,5.0
Ramen,China King Restaurant,100,100,3.0
Chole,Carl's Jr - Green Burrito,50,50,10.5
Coconut milk curry,Wetzel's Pretzels,60,60,11.0
Bak kut teh,Pizza Barn,80,80,9.5
Doughnut,Mocha Express,80,80,7.0
Ayam penyet,Mc Donalds,20,20,7.5
Ramyeon,Jason's Deli,100,100,3.0
Vegetable fried rice,Bojangles' Famous Chicken 'n Biscuits,90,90,4.0
Nasi goreng,Little Caesars Pizza,90,90,12.0
Banh khot,Ryan's,30,30,8.0
Enchiladas,Stripes Store #2276,20,20,10.5
French fries,Nathan's Famous,60,60,9.0
Hash browns,Simmies Arirang Hill Cheese Steak,100,100,11.5
Cantonese chicken soup,Burger Time,70,70,8.5
Ribollita,Nick's Burgers,80,80,12.0
Rau muong,OMG! Rotisserie,100,100,12.0
Tom yum goong,Woody's Sloppy Dogs,50,50,5.0
Ramyeon,The Biscuit Factory,100,100,4.0
Spring rolls,Penguin Point,50,50,7.0
Sundubu jjigae,Sheetz,20,20,5.5
Tofu,Bad Daddys Burger Bar,80,80,5.5
Sour soup,A&W/Long John Silvers,110,110,11.0
Udon,Jason's Deli,40,40,3.0
Ribollita,Flip Burger Bar,30,30,9.5
Beef rendang,Meatheads,90,90,5.5
Spicy stir fried octopus,B K,20,20,3.5
Tamales,Roly Poly,90,90,10.0
Rawon,Costa Vida Fresh Mexican Grill,70,70,8.5
Kimchi,Taco Mayo,20,20,7.0
Boiled vegetable soup,Smoothie King,60,60,4.5
Chole,Froots,40,40,10.0
Noodles,Hungry Andy's,80,80,7.5
Hash browns,Aprisa Mexican Cuisine,40,40,4.0
Sour soup,World Wrapps,60,60,6.0
Spicy stir fried octopus,Lime Ricky World,110,110,3.0
Sundubu jjigae,Bravo Tacos,70,70,9.0
Fish stew,Cinnabon,80,80,11.5
Chocolate chip cookie,Papa John's Pizza,20,20,11.5
Nem ran,Ziti's Italian Express,100,100,10.5
Tamales,Granny's Drive-In,70,70,5.0
Sour soup,SONIC Drive In,40,40,5.5
Natto,Cousins Subs of Green Bay - Oneida St. & Ramada Way,100,100,5.5
Yakitori,Long John Silvers / A&W,80,80,12.0
Rawon,Bb&t,50,50,3.5
Coconut milk curry,Port Of Subs,80,80,10.5
Hot and sour soup,Taco John's,80,80,6.5
Doughnut,The Break Away Sports Cafe,110,110,6.0
Soto,Music City Subs,80,80,5.5
Kimchi,Sbarro,110,110,7.0
Kaya toast,Kasa's Pizza,110,110,9.0
Natto,Carl's Jr - Green Burrito,80,80,7.5
Ribollita,Nathan's Famous,70,70,5.0
Polenta,China Buddha Inn II,20,20,4.0
Cha ca,Wetzel's Pretzels,30,30,7.0
Kaya toast,McDonalds @ Old Atlanta,60,60,5.0
Gado gado,L&l Hawaiian Barbecue,60,60,7.5
Tom yum goong,Sconecutter,110,110,12.0
Fish stew,Gyros Kings,100,100,9.5
Coconut milk curry,Runza,60,60,9.0
Ramyeon,Boston Market,110,110,7.5
Elote,KFC - Kentucky Fried Chicken,40,40,12.0
Soto,Mcdonald's - Walmart,70,70,4.0
Chicken rice,Nielsen's Frozen Custard,80,80,4.0
Bottarga,Omelette House,110,110,8.5
Ossobuco,Sonic Drive in,90,90,5.0
Dim sum,Rubio's Coastal Grill,30,30,4.5
Rau muong,Schlotzsky's,110,110,5.5
Donburi,Subway Sandwiches,80,80,10.0
Cheeseburger,Taco John's,70,70,10.5
Kaya toast,McDonald's of Mililani Mauka,40,40,5.0
Ribollita,Portillo's,50,50,7.5
Spicy stir fried octopus,Simmies Arirang Hill Cheese Steak,110,110,5.5
Soto,Taco Cabana,80,80,7.0
Murg makhani,Woody's Sloppy Dogs,40,40,11.0
Ga tan,Burgerville,50,50,5.5
Udon,Paesano's,90,90,6.0
Noodles,Blimpie,110,110,9.0
Chilaquiles,Circle Drive In,70,70,5.5
Soto,Aprisa Mexican Cuisine,60,60,5.0
Nasi goreng,Checker's Hamburgers,80,80,9.0
Steak,Mc Donalds,80,80,6.5
Fish stew,The People Connection,90,90,4.0
Tempura,D'Angelo Grilled Sandwiches,110,110,6.0
Chicken with chestnuts,Firehouse Subs,90,90,10.5
Dim sum,Flip Burger Bar,90,90,8.5
Tom yum goong,Teddy's Bigger Burgers,80,80,3.0
Oyster omelette,Siam To Go,100,100,11.5
Cao lau,Omelette House,20,20,11.0
Ribollita,Papagus Gyros,100,100,7.5
Fish stew,DQ Grill & Chill / Orange Julius,70,70,7.5
Chicken wings,Hamburger King,60,60,5.5
Cao lau,Rallys,30,30,10.5
Banh khot,TacoTime,30,30,4.5
Stir fried tofu with rice,Ziti's Italian Express,70,70,3.0
Naan,J J Fish and Chicken,60,60,11.0
Chicken galangal soup,Handy's Lunch,30,30,10.0
Tostadas,31st Avenue Gyro,20,20,3.0
Sate,Papa Johns Pizza,60,60,12.0
Chiles en nogada,Garden Catering,60,60,6.5
Rujak cingur,Osgood's,40,40,10.0
Bun bo hue,Nathan's Famous,60,60,7.0
Nem ran,Mr. Hero,80,80,3.0
Donburi,Chickenow,60,60,6.0
Soba,Pal's Sudden Service,20,20,11.5
Hot and sour soup,Tudor's Biscuit World,90,90,8.0
Spring rolls,Auntie Anne's,20,20,4.5
Bakso,El Pollo Loco,30,30,5.0
Bun bo hue,South-A-Philly Steaks and Hoagies,90,90,9.0
Tostadas,The Press Club,100,100,4.0
Palak paneer,Handy's Lunch,30,30,10.5
Papdi chaat,name,50,50,10.5
Isaan soup,Gold Star Chili,30,30,4.5
Noodles,Famous Dave's,90,90,10.0
Bak kut teh,Carls Jr. / Green Burrito,60,60,7.5
Hokkien prawn mee,Taqueria,40,40,5.5
Rujak cingur,Car's Late Night Delivery,20,20,6.0
Risotto,Frisch's Big Boy,60,60,5.0
Paratha,Dan's Seafood & Chicken,60,60,3.0
Thai hanglay curry,Meatheads,60,60,11.0
Stir fried tofu with rice,Tommy's Sub Shop,90,90,6.5
Oyster omelette,Dairy Isle,100,100,10.5
Papdi chaat,Ryan's,90,90,8.5
Rau muong,Osgood's,110,110,8.5
Sashimi,Bad Daddys Burger Bar,80,80,6.0
Fried chicken,China King,50,50,8.5
Sundubu jjigae,Rally's Hamburgers,40,40,8.0
Cao lau,Wingstop,40,40,9.5
Kimchi,Baja Fresh,40,40,3.0
Beef rendang,Kerby's Koney Island,20,20,8.5
Tofu,Mariu Kebabberia Gastronomica,100,100,11.0
Tandoori chicken,Ball State Lafollette Dining,30,30,9.5
Noodles,Hot Dog On A Stick,20,20,7.5
Ayam penyet,Shoney's on the Go,30,30,10.5
Hot and sour soup,Wings N' More Wings,110,110,4.0
Gado gado,Qdoba Mexican Grill,40,40,5.5
Noodles,Jolly's Drive-In,100,100,9.0
Rau muong,Wings And Philly,100,100,4.5
Chicken wings,Sammy Carry-Out,90,90,10.0
Pork bulgogi,Subway Sandwiches and Salads,20,20,7.5
Kaya toast,Hardee's / Red Burrito,20,20,8.0
Risotto,Rally's Hamburgers,80,80,10.5
Ramyeon,Kim Lee Fast Food,80,80,8.0
Bun bo hue,Golden Chick,50,50,5.0
Ayam goreng,Chick-Fil-A,60,60,11.5
Thai hanglay curry,Rallys,20,20,11.5
Ayam goreng,Checker's,30,30,4.5
Bak chor mee,Popeyes,70,70,8.0
Natto,Bob Evans Restaurant,80,80,3.5
Sundubu jjigae,QDOBA Mexican Eats,40,40,12.0
Enchiladas,Subway Citgo of Quarryville,70,70,3.5
Spring rolls,Kfc - Kentucky Fried Chicken,100,100,8.5
Pork bulgogi,Famous Dave's,50,50,7.0
Chicken wings,Chester's Grill,70,70,10.0
Spaghetti Carbonara,Jolly's Drive-In,50,50,6.0
Kimchi,Isabella's Pizzeria,80,80,5.5
Oyster omelette,Pizza Factory,90,90,11.0
Lasagna,The Biscuit Factory,40,40,6.0
Steak,McDonalds @ Old Atlanta,110,110,5.5
Szechwan chilli chicken,Coop DeVille,110,110,3.5
Chicken galangal soup,Chick-fil-A,90,90,7.5
Spicy stir fried octopus,Tasty Carryout,110,110,5.0
Bibimbap,Carl's / Green Burrito,40,40,5.5
Dim sum,Rahway Chicken & Burger Inc,110,110,5.0
Soba,Taco Del Mar,50,50,12.0
Samgyeopsal,A&W Restaurant,50,50,9.5
Chicken wings,Hot Dog on a Stick,20,20,3.5
Chicken with chestnuts,Port of Subs,20,20,9.5
Gado gado,Frugals,90,90,5.0
Elote,Carl's / Green Burrito,100,100,11.5
Tostadas,Tasty Carryout,60,60,4.0
Beef soup,Hermosa,80,80,3.5
Bhajji,Mc Donalds,110,110,6.5
Laksa,Long John Silver's / A&W,70,70,8.5
Palak paneer,J J Fish and Chicken,100,100,8.0
Nasi goreng,Rally's,40,40,9.5
Rau muong,Dominos Pizza,40,40,6.5
Isaan soup,Rich's Mighty Fine Burgers Grub,100,100,5.0
Beef rendang,Tellers Tap Room & Kitchen,50,50,10.5
Sushi,Dan's Seafood & Chicken,110,110,10.5
Ribollita,Regal Cinemas Tikahtnu  16 IMAX & RPX,110,110,10.0
Fish stew,The Biscuit Factory,20,20,12.0
Banh khot,Pizza Hut,70,70,6.5
Goi cuon,Tellers Tap Room & Kitchen,30,30,3.5
Dim sum,Baskin-Robbins,40,40,5.0
Kimchi stew,Checker's Drive-in Restaurant,20,20,12.0
Elote,Blakes Lotaburger,90,90,9.5
Tamales,Chris' Drive-In,100,100,3.0
Sate,Dairy Queen,20,20,6.0
Kimchi,Mayfair Boardwalk Grill,20,20,5.0
Udon,Costa Vida,110,110,9.5
Chicken galangal soup,Mcdonald's #25557,20,20,10.0
Kaya toast,Hardee's,20,20,8.5
Ayam goreng,Taco Bueno,60,60,10.0
Spicy stir fried octopus,The Pizza Pipe Line,20,20,11.5
Rawon,Great Steak And Potato Co,70,70,6.0
Sour soup,Fresh City,30,30,7.5
Ramen,Baja Fresh Mexican Grill,50,50,4.0
Chicken galangal soup,In-A-Tub,100,100,11.0
Beef soup,Kim Lee Fast Food,100,100,3.5
Tofu,Original Tracks,100,100,6.0
Beef rendang,The People Connection,40,40,9.5
Stir fried tofu with rice,Port of Subs,100,100,5.0
Ayam penyet,White Castle,20,20,5.5
Stir fried tofu with rice,Pizza Hut Wingstreet,50,50,10.0
Fish stew,Jacks Grocery,60,60,10.5
Wanton mee,Sunrise Cafe,20,20,7.0
Naan,Carl's Jr. / Green Burrito,100,100,10.5
French fries,Cousins Subs,80,80,12.0
Dim sum,Baja Fresh,60,60,5.0
Spaghetti Carbonara,Geno's Fast Break,110,110,5.5
Yakitori,Paesano's,110,110,3.5
Sashimi,Carl's Jr.,30,30,10.5
Dim sum,Rally's Hamburgers,100,100,4.0
Kaya toast,Denton's,100,100,10.0
Kimchi stew,Alice's,50,50,5.5
Sate,ShopRite,80,80,7.0
Isaan soup,L&L Hawaiian Barbecue,110,110,4.0
Donburi,Siam To Go,60,60,8.0
Banh xeo,Nino's Pizza,70,70,11.0
Spaghetti Bolognese,QDOBA Mexican Eats,100,100,12.0
Papdi chaat,Regal Cinemas Tikahtnu  16 IMAX & RPX,20,20,6.5
Kaya toast,QDOBA Mexican Eats,110,110,11.5
Stir fried tofu with rice,Luby's,110,110,6.0
Spaghetti Bolognese,Jimmy John's Gourmet Sandwiches,90,90,5.5
Spaghetti Bolognese,Famous Dave's,110,110,9.5
Soba,Meatheads,70,70,8.5
Sate,Handy's Lunch,90,90,10.5
Isaan soup,Chick-fil-a Orange Avenue,30,30,9.5
Fish kidney curry,Dairy Queen Grill & Chill / Orange Julius,70,70,6.0
Banh khot,Popeye's Chicken & Biscuits,100,100,5.5
Steak,Rahway Chicken & Burger Inc,80,80,11.0
Risotto,McDonald's of Mililani Mauka,110,110,3.0
Bak kut teh,Yellow Cab Pizza Co.,50,50,5.0
Coconut milk curry,Aw Restaurant,40,40,4.0
Vegetable fried rice,Chick-fil-a Superstition Springs Center,50,50,5.5
Mole,Taco Cabana,100,100,6.0
Pozole,Chick-fil-a,20,20,11.5
Spaghetti Aglio Olio,World Wrapps,100,100,6.0
Murg makhani,Jimmy John's Gourmet Sandwiches,40,40,6.0
Lasagna,Taco Bell/Pizza Hut Express,60,60,4.5
Spaghetti Aglio Olio,Lenny's Sub Shop,60,60,10.0
Tempura,L&l Hawaiian Barbecue,50,50,11.0
Thai hanglay curry,Kam's Chop Suey,90,90,5.5
Fried carrot cake,Burgerville,70,70,4.0
Ga tan,McLaren's Pantry,70,70,6.0
Spring rolls,Taco Del Mar,100,100,6.0
Bakso,Maria's Fry Bread & Mexican Food,50,50,5.0
Chole,KFC - Kentucky Fried Chicken,40,40,5.0
Spaghetti Carbonara,Lenny's Sub Shop,60,60,6.0
Thai hanglay curry,Pei Wei,20,20,5.5
Rau muong,Capriotti's Sandwich Shop,70,70,10.0
Fish stew,Stars Drive-In,40,40,3.5
Boiled vegetable soup,McDonald's,90,90,9.5
Papdi chaat,Domino's Pizza,100,100,8.0
Chicken wings,Wienerschnitzel,80,80,10.0
Polenta,Pei Wei,100,100,4.5
Stir fried tofu with rice,Spangle's,100,100,11.0
Spaghetti Aglio Olio,Subway - Bell's Ferry,100,100,5.0
Spaghetti Bolognese,Smashburger,100,100,6.0
Lasagna,Dairy Queen Grill & Chill,110,110,3.0
Bhajji,Greek Oven Pizza and Wings,20,20,11.5
Tacos al pastor,Fuku,60,60,6.5
Noodles,Wienerschnitzel,70,70,10.5
Elote,Burger's Landing,30,30,11.0
Paratha,Backyard Burgers,50,50,4.5
Polenta,Sheetz,40,40,5.0
Fried carrot cake,D'Angelo Grilled Sandwiches,110,110,10.0
Beef rendang,Paesano's,40,40,7.5
Sate,Nielsen's Frozen Custard,70,70,5.5
Mole,Jolly's Drive-In,80,80,4.5
Korma,The Great Steak & Potato Co.,20,20,10.0
Ga tan,Popeyes Chicken & Biscuits,30,30,5.0
Fried chicken,Granny's Drive-In,100,100,4.0
Coconut milk curry,Dawg House Grill,30,30,7.5
Sour soup,Rally's Springfield,110,110,11.5
Ossobuco,BIG & little's Restaurant,30,30,12.0
Udon,Taco Bell,80,80,5.5
Spicy stir fried octopus,Sonic Drive-in,90,90,11.5
Fried chicken,The Chicken Place,50,50,6.5
Banh xeo,BIG & little's Restaurant,30,30,3.5
Kimchi stew,Peking Wok,80,80,10.5
Naan,Back Yard Burgers,30,30,9.0
Yakitori,Tudor's Biscuit World,90,90,7.5
Fish stew,Long John Silver's / A&W,60,60,8.5
Cao lau,Mr Char-Burger,20,20,11.0
Kimchi,McDonalds @ Old Atlanta,110,110,9.5
Banh khot,Jimmy Johns,110,110,3.5
Cantonese chicken soup,Mazatlan Mexican Restaurant,80,80,8.5
Cheeseburger,Boston Market 381,90,90,6.0
Pozole,Taco Time,90,90,9.5
Wanton mee,Charlie's Chicken,20,20,11.0
Natto,St Louis Original Hamburgers,60,60,6.5
Enchiladas,Dairy Freeze,110,110,10.0
Apple pie,Taco Mayo,90,90,9.5
Cha ca,Capriotti's Sandwich Shop,80,80,4.0
Paratha,Arbys,70,70,10.0
Spaghetti Bolognese,Hot Dog on a Stick,60,60,10.0
Rujak cingur,Great Steak And Potato Co,50,50,8.5
Hokkien prawn mee,7-11,110,110,8.0
Beef rendang,South-A-Philly Steaks and Hoagies,20,20,7.5
Natto,Taco Bueno,50,50,11.5
Nasi goreng,Tubby's Grilled Submarines,80,80,4.0
Risotto,Chick-fil-A,80,80,6.0
Murg makhani,Froots,80,80,10.0
Steak,SONIC Drive In,80,80,9.5
Donburi,Pizza Express,60,60,4.5
Banh khot,Vista Drive In,80,80,6.0
Chocolate chip cookie,Buds Chicken & Seafood,60,60,11.5
Ossobuco,Quick,110,110,8.0
Cheeseburger,Vista Drive In,20,20,4.0
Murg makhani,The Honeybaked Ham Company,30,30,11.5
Risotto,Au Bon Pain,60,60,3.0
Noodles,Bojangles' Famous Chicken 'n Biscuits,80,80,5.0
Spring rolls,Panera Bread,70,70,3.0
Chole,Islands Restaurant,70,70,6.5
Spicy stir fried octopus,Everest,60,60,7.5
Isaan soup,P. Terry's,80,80,3.0
Kimchi stew,Chick-fil-a Orange Avenue,60,60,6.0
Vegetable fried rice,Charlie's Chicken,90,90,10.0
Cha ca,name,70,70,4.0
Tandoori chicken,A&W Restaurant,70,70,7.0
Bak chor mee,Schlotzsky's,40,40,4.5
Chicken wings,Port of Subs,40,40,7.0
Udon,Kettle Restaurant,110,110,7.5
French fries,Tina's Carryout Restaurant,70,70,4.5
Chicken tikka masala,Rallys,90,90,10.0
Ribollita,Popeye's,40,40,9.0
Natto,Maui Tacos,40,40,6.5
Sashimi,Tommy's Sub Shop,110,110,4.5
Ayam penyet,Simmies Arirang Hill Cheese Steak,90,90,5.5
French fries,KFC - Kentucky Fried Chicken,80,80,7.5
Fish stew,Sensenig Poultry LLC,100,100,7.0
Spaghetti Aglio Olio,Pacific Rim,50,50,5.0
Macaroni and Cheese,Cherry Hill Drive In Ice Cream,80,80,6.5
Chole,Boston Market 381,100,100,5.0
Tom yum goong,Panera Bread,80,80,11.5
Green curry chicken,Pizza One,100,100,10.0
Chicken tikka masala,Petro's Chili & Chips,90,90,5.0
Sundubu jjigae,KFC,60,60,11.0
Boiled vegetable soup,Music City Subs,40,40,4.0
